                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6032,                0.90045,                      1,                 1.6025,             0.00023679,             0.00023679,             0.00023679
                      2,                0.39074,                0.94855,                      1,                 1.4625,             0.00042778,             0.00042778,             0.00042778
                      3,                0.20665,                0.95749,                      1,                 1.4458,             0.00057165,             0.00057165,             0.00057165
                      4,                0.14686,                0.97875,                      1,                  1.408,             0.00050194,             0.00050194,             0.00050194
                      5,                 0.1347,                0.98546,                      1,                 1.3996,             0.00043126,             0.00043126,             0.00043126
                      6,                0.10055,                0.98546,                      1,                 1.3956,             0.00036057,             0.00036057,             0.00036057
                      7,                0.08097,                 0.9877,                      1,                 1.3924,             0.00028988,             0.00028988,             0.00028988
                      8,                0.07069,                0.98658,                      1,                 1.3926,              0.0002192,              0.0002192,              0.0002192
                      9,                0.06191,                0.98546,                      1,                 1.3997,             0.00014851,             0.00014851,             0.00014851
                     10,                0.05301,                0.98993,                      1,                 1.3897,             7.7826e-05,             7.7826e-05,             7.7826e-05
